Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team,Comp
Max Aarons,eng ENG,DF,25,3,1,86,0,0,0,0,0,0.0,0.0,Bournemouth,eng Premier League
Rodrigo Abajas,es ESP,DF,21,1,1,65,0,0,0,1,0,0.1,0.0,Valencia,es La Liga
James Abankwah,ie IRL,"DF,MF",21,6,0,88,0,0,0,1,0,0.1,0.0,Udinese,it Serie A
Keyliane Abdallah,fr FRA,FW,18,1,0,3,0,0,0,0,0,0.0,0.0,Marseille,fr Ligue 1
Yunis Abdelhamid,ma MAR,DF,37,12,11,976,0,0,0,2,0,0.2,0.1,Saint-Étienne,fr Ligue 1
Himad Abdelli,dz ALG,"MF,FW",25,23,23,2042,6,1,3,2,0,5.6,2.8,Angers,fr Ligue 1
Mohamed Abdelmoneim,eg EGY,DF,26,9,7,609,0,0,0,2,0,0.0,0.0,Nice,fr Ligue 1
Ali Abdi,tn TUN,"DF,MF",31,16,11,934,2,2,2,1,0,1.2,1.4,Nice,fr Ligue 1
Saud Abdulhamid,sa KSA,DF,25,3,1,142,0,1,0,0,0,0.0,0.1,Roma,it Serie A
Abel,es ESP,DF,24,25,14,1478,2,0,2,2,0,0.4,0.7,Osasuna,es La Liga
Nabil Aberdin,fr FRA,MF,22,7,4,263,0,0,0,1,0,0.0,0.0,Getafe,es La Liga
Oliver Abildgaard,dk DEN,MF,28,1,0,7,0,0,0,0,0,0.0,0.0,Como,it Serie A
Matthis Abline,fr FRA,FW,21,24,23,1900,7,1,6,2,0,7.1,2.7,Nantes,fr Ligue 1
Abner,br BRA,DF,24,14,9,820,1,1,1,1,0,0.2,0.9,Lyon,fr Ligue 1
Zakaria Aboukhlal,ma MAR,"MF,FW",25,23,22,1827,7,2,6,4,0,10.1,1.5,Toulouse,fr Ligue 1
Abdel Abqar,ma MAR,DF,25,24,24,2028,0,1,0,12,0,0.8,0.2,Alavés,es La Liga
Tammy Abraham,eng ENG,FW,27,1,0,1,0,0,0,0,0,0.0,0.0,Roma,it Serie A
Federico Accornero,it ITA,MF,21,1,0,5,0,0,0,0,0,0.0,0.0,Genoa,it Serie A
Francesco Acerbi,it ITA,DF,37,13,13,1030,0,1,0,0,0,0.3,0.3,Inter,it Serie A
Joshua Acheampong,eng ENG,DF,18,3,2,168,0,0,0,0,0,0.2,0.0,Chelsea,eng Premier League
Akor Adams,ng NGA,FW,25,1,0,10,0,0,0,0,0,0.0,0.0,Sevilla,es La Liga
Che Adams,sct SCO,FW,28,25,20,1733,7,3,7,1,0,4.9,1.8,Torino,it Serie A
Tyler Adams,us USA,MF,26,17,11,1077,0,3,0,4,0,1.1,0.7,Bournemouth,eng Premier League
Junior Adamu,at AUT,FW,23,17,11,969,2,1,2,3,1,4.0,1.4,Freiburg,de Bundesliga
Tosin Adarabioyo,eng ENG,DF,27,14,10,996,1,1,1,2,0,0.8,0.2,Chelsea,eng Premier League
Martin Adeline,fr FRA,MF,21,1,0,26,0,0,0,0,0,0.0,0.0,Reims,fr Ligue 1
Karim Adeyemi,de GER,"FW,MF",23,15,10,843,3,3,3,3,0,3.2,2.5,Dortmund,de Bundesliga
Simon Adingra,ci CIV,"FW,MF",23,18,6,612,2,1,2,0,0,1.5,1.1,Brighton,eng Premier League
Amine Adli,ma MAR,"MF,FW",24,10,3,313,1,0,1,1,0,1.2,0.1,Leverkusen,de Bundesliga
Yacine Adli,fr FRA,MF,24,20,14,1120,3,4,3,3,1,0.5,2.2,Fiorentina,it Serie A
Adrián,es ESP,GK,38,7,7,630,0,0,0,2,0,0.0,0.0,Betis,es La Liga
Adryelson,br BRA,DF,26,1,0,1,0,0,0,1,0,0.0,0.0,Lyon,fr Ligue 1
Vasilije Adžić,me MNE,"MF,FW",18,3,0,26,0,0,0,0,0,0.0,0.0,Juventus,it Serie A
Michel Aebischer,ch SUI,MF,28,8,5,382,0,0,0,0,0,0.2,0.3,Bologna,it Serie A
Oladapo Afolayan,eng ENG,"FW,MF",27,23,13,1331,2,1,2,2,0,2.7,3.2,St. Pauli,de Bundesliga
Emmanuel Agbadou,ci CIV,DF,27,5,5,420,0,0,0,2,0,0.0,0.0,Wolves,eng Premier League
Asher Agbinone,eng ENG,MF,19,2,0,6,0,0,0,0,0,0.0,0.0,Crystal Palace,eng Premier League
Jeremy Agbonifo,se SWE,"FW,MF",19,4,0,147,1,0,1,0,0,0.5,0.1,Lens,fr Ligue 1
Julen Agirrezabala,es ESP,GK,24,14,14,1206,0,0,0,1,1,0.0,0.0,Athletic Club,es La Liga
Lucien Agoume,fr FRA,MF,23,24,13,1156,0,0,0,3,1,0.3,0.6,Sevilla,es La Liga
Felix Agu,de GER,DF,25,12,11,900,2,0,2,1,0,0.7,0.9,Werder Bremen,de Bundesliga
Álvaro Aguado,es ESP,MF,28,11,4,406,0,0,0,2,0,0.4,0.0,Espanyol,es La Liga
Lorenzo Aguado,es ESP,DF,22,2,0,5,0,0,0,0,0,0.0,0.0,Real Madrid,es La Liga
Nayef Aguerd,ma MAR,DF,28,19,19,1580,0,0,0,5,0,2.2,0.1,Real Sociedad,es La Liga
Ruben Aguilar,fr FRA,DF,31,9,6,526,1,1,1,2,0,0.3,0.7,Lens,fr Ligue 1
Naouirou Ahamada,fr FRA,"MF,FW",22,3,0,58,0,0,0,0,0,0.0,0.0,Rennes,fr Ligue 1
Honest Ahanor,it ITA,DF,17,2,1,85,0,0,0,0,0,0.1,0.0,Genoa,it Serie A
Erik Ahlstrand,se SWE,"FW,MF",23,5,0,43,0,0,0,0,0,0.0,0.0,St. Pauli,de Bundesliga
Jean-Eudes Aholou,ci CIV,MF,30,22,22,1661,2,0,2,7,0,1.7,0.4,Angers,fr Ligue 1
Joseph Aidoo,gh GHA,DF,29,3,3,244,0,0,0,0,0,0.0,0.0,Valladolid,es La Liga
Ayman Aiki,fr FRA,"FW,MF",19,5,1,127,0,0,0,0,0,0.1,0.0,Saint-Étienne,fr Ligue 1
Ola Aina,ng NGA,DF,28,27,27,2351,2,1,2,2,0,0.6,0.7,Nott'ham Forest,eng Premier League
Rayan Aït-Nouri,dz ALG,DF,23,26,26,2212,3,5,3,6,1,1.8,2.5,Wolves,eng Premier League
Junior Ajayi,ci CIV,FW,20,1,0,2,0,0,0,0,0,0.0,0.0,Hellas Verona,it Serie A
Kristoffer Ajer,no NOR,DF,26,14,13,1045,0,0,0,3,0,0.6,1.0,Brentford,eng Premier League
Ludovic Ajorque,fr FRA,FW,31,21,19,1663,10,1,10,4,0,6.7,2.4,Brest,fr Ligue 1
Manuel Akanji,ch SUI,DF,29,20,20,1707,0,0,0,3,0,0.7,0.4,Manchester City,eng Premier League
Ümit Akdag,ro ROU,DF,21,6,6,434,0,0,0,2,0,0.1,0.1,Toulouse,fr Ligue 1
Nathan Aké,nl NED,DF,30,10,8,678,0,0,0,0,0,0.2,0.0,Manchester City,eng Premier League
Ilias Akhomach,ma MAR,"MF,FW",20,11,7,584,1,0,1,1,0,0.6,1.0,Villarreal,es La Liga
Sergio Akieme,es ESP,DF,27,20,19,1673,1,1,1,3,0,0.6,1.2,Reims,fr Ligue 1
Maghnes Akliouche,fr FRA,"FW,MF",23,23,19,1697,3,6,3,2,0,5.3,5.4,Monaco,fr Ligue 1
Clément Akpa,ci CIV,DF,23,22,20,1762,0,1,0,5,0,0.1,0.9,Auxerre,fr Ligue 1
Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",32,4,3,228,0,0,0,2,0,0.0,0.1,Monza,it Serie A
David Akpan Ankeye,ng NGA,"FW,MF",23,4,0,45,0,0,0,0,0,0.0,0.0,Genoa,it Serie A
Kevin Akpoguma,ng NGA,DF,29,23,17,1609,0,0,0,3,0,0.0,0.3,Hoffenheim,de Bundesliga
Chuba Akpom,eng ENG,FW,29,4,3,264,2,0,2,0,0,2.2,0.3,Lille,fr Ligue 1
David Alaba,at AUT,DF,32,4,2,168,0,0,0,1,0,0.0,0.0,Real Madrid,es La Liga
Andreas Albers,dk DEN,FW,34,14,0,62,1,0,1,0,0,0.6,0.1,St. Pauli,de Bundesliga
Raúl Albiol,es ESP,DF,39,15,14,1188,0,0,0,5,0,0.1,0.0,Villarreal,es La Liga
Carlos Alcaraz,ar ARG,MF,22,1,0,10,0,0,0,0,0,0.1,0.1,Southampton,eng Premier League
Omar Alderete,py PAR,DF,28,23,23,2046,0,0,0,6,0,0.7,0.9,Getafe,es La Liga
Carles Aleñá,es ESP,"MF,FW",27,10,5,452,0,0,0,1,0,0.9,0.1,Getafe,es La Liga
Trent Alexander-Arnold,eng ENG,DF,26,27,25,2057,2,6,2,4,0,1.3,6.6,Liverpool,eng Premier League
Alfon,es ESP,"FW,MF",25,15,5,593,1,1,1,0,1,2.6,1.8,Celta Vigo,es La Liga
Mohamed Ali Cho,fr FRA,"FW,MF",21,20,18,1360,3,4,3,2,0,3.0,3.1,Nice,fr Ligue 1
Faride Alidou,de GER,"FW,MF",23,3,0,71,0,0,0,0,0,0.0,0.0,Hellas Verona,it Serie A
Alisson,br BRA,GK,32,20,20,1788,0,0,0,0,0,0.0,0.6,Liverpool,eng Premier League
Tadeo Allende,ar ARG,FW,26,1,0,2,0,0,0,1,0,0.0,0.0,Celta Vigo,es La Liga
Jim Allevinah,ga GAB,FW,30,19,18,1256,0,3,0,3,0,2.8,2.3,Angers,fr Ligue 1
Thiago Almada,ar ARG,"MF,FW",23,6,1,187,0,0,0,1,0,0.1,0.1,Lyon,fr Ligue 1
Domingos André Ribeiro Almeida,pt POR,"MF,FW",24,23,14,1254,0,1,0,1,0,0.5,1.5,Valencia,es La Liga
Iker Almena,es ESP,"FW,DF",20,2,0,48,0,1,0,0,0,0.0,0.7,Girona,es La Liga
Miguel Almirón,py PAR,FW,31,9,1,157,0,0,0,0,0,0.5,0.3,Newcastle Utd,eng Premier League
Pontus Almqvist,se SWE,"FW,MF",25,24,6,849,1,1,1,4,0,1.6,1.3,Parma,it Serie A
Marcos Alonso,es ESP,DF,34,20,18,1710,1,0,0,8,1,1.5,0.6,Celta Vigo,es La Liga
Giorgio Altare,it ITA,DF,26,12,8,753,0,0,0,2,0,0.2,0.1,Venezia,it Serie A
Adrià Altimira,es ESP,"DF,FW",23,15,12,1082,0,0,0,3,0,0.1,0.0,Leganés,es La Liga
Sergi Altimira,es ESP,MF,23,22,16,1479,0,1,0,3,0,1.6,1.5,Betis,es La Liga
Edson Álvarez,mx MEX,MF,27,22,17,1471,0,1,0,8,1,0.3,0.8,West Ham,eng Premier League
Hugo Álvarez,es ESP,"MF,DF",21,22,14,1387,4,2,4,5,0,2.3,0.8,Celta Vigo,es La Liga
Julián Álvarez,ar ARG,"FW,MF",25,26,20,1701,10,2,9,4,0,8.1,2.9,Atlético Madrid,es La Liga
Yeray Álvarez,es ESP,DF,30,15,14,1241,0,0,0,4,0,0.3,0.2,Athletic Club,es La Liga
Skelly Alvero,fr FRA,MF,22,12,1,236,0,0,0,1,0,0.0,0.0,Werder Bremen,de Bundesliga
Will Alves,eng ENG,FW,20,1,0,1,0,0,0,0,0,0.0,0.0,Leicester City,eng Premier League
Selim Amallah,ma MAR,MF,28,17,13,1021,3,1,2,5,0,2.7,0.6,Valladolid,es La Liga
Amath,sn SEN,"FW,DF",28,9,5,316,0,1,0,1,0,0.4,0.2,Valladolid,es La Liga
Jordan Amavi,fr FRA,DF,30,11,8,790,0,0,0,2,0,0.3,0.2,Brest,fr Ligue 1
Aurele Amenda,ch SUI,DF,21,4,1,70,0,0,0,1,0,0.0,0.3,Eint Frankfurt,de Bundesliga
Kelvin Amian,fr FRA,DF,27,21,15,1478,1,0,1,4,0,0.9,0.5,Nantes,fr Ligue 1
Michael Amir Murillo,pa PAN,DF,29,23,20,1807,1,2,1,1,0,1.5,2.5,Marseille,fr Ligue 1
Nadiem Amiri,de GER,MF,28,22,22,1756,6,3,4,6,2,4.1,5.0,Mainz 05,de Bundesliga
Samuel Amo-Ameyaw,eng ENG,"FW,DF",18,2,0,28,0,0,0,1,0,0.0,0.1,Southampton,eng Premier League
Mathis Amougou,fr FRA,MF,19,1,0,8,0,0,0,0,0,0.0,0.0,Chelsea,eng Premier League
Mohamed Amoura,dz ALG,FW,24,22,21,1796,9,8,8,3,0,6.1,3.2,Wolfsburg,de Bundesliga
Sofyan Amrabat,ma MAR,MF,28,2,2,180,0,0,0,0,0,0.0,0.1,Fiorentina,it Serie A
Joachim Andersen,dk DEN,DF,28,1,1,90,0,0,0,1,0,0.0,0.0,Crystal Palace,eng Premier League
Elliot Anderson,eng ENG,MF,22,26,22,1802,1,5,1,6,0,1.3,2.9,Nott'ham Forest,eng Premier League
André,br BRA,MF,23,22,20,1568,0,0,0,3,0,0.1,0.6,Wolves,eng Premier League
Benjamin André,fr FRA,MF,34,21,21,1882,0,1,0,10,0,1.2,1.1,Lille,fr Ligue 1
Marcos André,br BRA,FW,28,18,13,1092,1,2,1,5,0,2.2,0.8,Valladolid,es La Liga
Robert Andrich,de GER,MF,30,17,15,1240,2,1,2,6,0,1.2,0.2,Leverkusen,de Bundesliga
